chr	start	end	Level
chr22	16580000	17080000	1
chr22	17080000	17640000	1
chr22	17640000	18160000	1
chr22	18970000	20110000	1
chr22	20150000	21110000	1
chr22	21550000	22270000	1
chr22	22330000	23310000	1
chr22	23320000	23860000	1
chr22	23910000	24650000	1
chr22	24660000	25070000	1
chr22	25070000	25930000	1
chr22	25930000	26360000	1
chr22	26360000	28020000	1
chr22	28020000	29310000	1
chr22	29310000	30390000	1
chr22	30390000	31350000	1
chr22	31350000	31970000	1
chr22	31970000	33220000	1
chr22	33220000	34410000	1
chr22	34410000	35260000	1
chr22	35260000	36500000	1
chr22	36500000	37500000	1
chr22	37520000	38700000	1
chr22	38700000	39530000	1
chr22	39530000	40370000	1
chr22	40370000	41590000	1
chr22	41590000	42500000	1
chr22	42510000	43190000	1
chr22	43190000	44660000	1
chr22	44660000	45550000	1
chr22	45550000	46000000	1
chr22	46000000	46780000	1
chr22	46780000	48580000	1
chr22	48580000	49730000	1
chr22	49730000	50740000	1
