chr	start	end	Level
chr22	10680000	11500000	1
chr22	11540000	12160000	1
chr22	12300000	12650000	1
chr22	15160000	15500000	1
chr22	15510000	15780000	1
chr22	15900000	16330000	1
chr22	16400000	18240000	1
chr22	18510000	18630000	1
chr22	18890000	18940000	1
chr22	18940000	19950000	1
chr22	19950000	20350000	1
chr22	20350000	21160000	1
chr22	21160000	21270000	1
chr22	21270000	21470000	1
chr22	21470000	21550000	1
chr22	21550000	22290000	1
chr22	22290000	23980000	1
chr22	23980000	24630000	1
chr22	24630000	25060000	1
chr22	25060000	25930000	1
chr22	25930000	26360000	1
chr22	26360000	28010000	1
chr22	28010000	29270000	1
chr22	29270000	30430000	1
chr22	30430000	31440000	1
chr22	31440000	31970000	1
chr22	31970000	32480000	1
chr22	32480000	33240000	1
chr22	33240000	34410000	1
chr22	34410000	35410000	1
chr22	35410000	36530000	1
chr22	36530000	37470000	1
chr22	37470000	38390000	1
chr22	38390000	39530000	1
chr22	39530000	40370000	1
chr22	40370000	41570000	1
chr22	41570000	42560000	1
chr22	42560000	43220000	1
chr22	43220000	44680000	1
chr22	44680000	45570000	1
chr22	45570000	45980000	1
chr22	45980000	46740000	1
chr22	46740000	47610000	1
chr22	47610000	48500000	1
chr22	48500000	49750000	1
chr22	49750000	50800000	1
