chr	start	end	Level
chr22	10680000	11640000	1
chr22	12020000	12410000	1
chr22	12410000	12700000	1
chr22	15290000	15520000	1
chr22	15540000	15760000	1
chr22	15770000	15940000	1
chr22	15970000	17570000	1
chr22	17570000	18170000	1
chr22	18170000	18940000	1
chr22	18940000	19720000	1
chr22	19720000	20110000	1
chr22	20110000	20530000	1
chr22	20530000	21110000	1
chr22	21110000	21550000	1
chr22	21550000	22360000	1
chr22	22360000	23310000	1
chr22	23310000	23890000	1
chr22	23890000	24560000	1
chr22	24560000	25070000	1
chr22	25070000	25930000	1
chr22	25930000	26680000	1
chr22	26680000	28010000	1
chr22	28010000	29310000	1
chr22	29310000	30390000	1
chr22	30390000	31350000	1
chr22	31350000	31970000	1
chr22	31970000	32480000	1
chr22	32480000	33230000	1
chr22	33230000	33920000	1
chr22	33920000	34410000	1
chr22	34410000	35300000	1
chr22	35300000	36500000	1
chr22	36500000	37640000	1
chr22	37640000	38700000	1
chr22	38700000	39530000	1
chr22	39530000	40370000	1
chr22	40370000	40900000	1
chr22	40900000	41600000	1
chr22	41600000	42610000	1
chr22	42610000	43190000	1
chr22	43190000	44660000	1
chr22	44660000	45550000	1
chr22	45550000	46000000	1
chr22	46000000	46730000	1
chr22	46730000	47640000	1
chr22	47640000	49730000	1
chr22	49730000	50750000	1
chr22	50750000	50810000	1
