chr	start	end	Level
chr22	16580000	16870000	1
chr22	16930000	17640000	1
chr22	18960000	19730000	1
chr22	19770000	20320000	1
chr22	20360000	21110000	1
chr22	21550000	22120000	1
chr22	22180000	22960000	1
chr22	23010000	23940000	1
chr22	24010000	24620000	1
chr22	24640000	25060000	1
chr22	25060000	25930000	1
chr22	25930000	26360000	1
chr22	26360000	28010000	1
chr22	28010000	29270000	1
chr22	29270000	30430000	1
chr22	30430000	31440000	1
chr22	31440000	31970000	1
chr22	31970000	32480000	1
chr22	32480000	33240000	1
chr22	33240000	34410000	1
chr22	34410000	35310000	1
chr22	35310000	36530000	1
chr22	36530000	37740000	1
chr22	37760000	38720000	1
chr22	38720000	39530000	1
chr22	39530000	40370000	1
chr22	40370000	41570000	1
chr22	41570000	42500000	1
chr22	42510000	43200000	1
chr22	43200000	44680000	1
chr22	44680000	45570000	1
chr22	45570000	45980000	1
chr22	45980000	46740000	1
chr22	46740000	49750000	1
chr22	49750000	50740000	1
