chr	start	end	Level
chr22	10680000	10790000	1
chr22	10920000	11790000	1
chr22	11790000	11910000	1
chr22	11910000	12220000	1
chr22	12220000	12580000	1
chr22	12690000	12810000	1
chr22	15160000	15360000	1
chr22	15400000	15480000	1
chr22	15490000	15780000	1
chr22	15970000	16490000	1
chr22	16520000	17140000	1
chr22	17140000	17610000	1
chr22	17930000	18190000	1
chr22	18810000	19120000	1
chr22	19120000	19990000	1
chr22	19990000	21280000	1
chr22	21290000	21410000	1
chr22	21410000	21510000	1
chr22	21530000	22370000	1
chr22	22370000	22480000	1
chr22	22480000	22800000	1
chr22	22800000	23260000	1
chr22	23260000	23430000	1
chr22	23450000	23970000	1
chr22	23970000	24440000	1
chr22	24440000	25990000	1
chr22	25990000	26490000	1
chr22	26490000	27920000	1
chr22	27920000	28230000	1
chr22	28230000	28890000	1
chr22	28890000	30580000	1
chr22	30580000	31950000	1
chr22	31950000	32880000	1
chr22	32880000	33150000	1
chr22	33150000	33660000	1
chr22	33660000	34490000	1
chr22	34490000	35330000	1
chr22	35330000	36000000	1
chr22	36000000	37200000	1
chr22	37200000	38860000	1
chr22	38860000	39440000	1
chr22	39440000	40910000	1
chr22	40910000	41430000	1
chr22	41430000	42580000	1
chr22	42580000	43190000	1
chr22	43190000	43270000	1
chr22	43270000	44310000	1
chr22	44310000	44730000	1
chr22	44730000	45580000	1
chr22	45580000	46690000	1
chr22	46690000	47070000	1
chr22	47070000	48170000	1
chr22	48170000	50110000	1
chr22	50110000	50810000	1
